CommitId;Date/Heure;Date;HourOfDay;Author;Message;BugFix;NbModifiedFiles;NbInsertions;NbDeletions;dataset_securite.Total_Vuln�rabilit�s;dataset_radon.Complexite_Moyenne;dataset_radon.Total_SLOC;dataset_radon.Total_Commentaires;dataset_typescript.Erreurs_TypeScript;dataset_duplication.Duplication_Pourcentage;dataset_sonarqube_V2.Sonar_Dette_Technique_Min;dataset_sonarqube_V2.Sonar_Duplication_Pct;dataset_sonarqube_V2.Sonar_Code_Smells;dataset_sonarqube_V2.Sonar_Bugs
5c7ddd08a977bf6f1f2f2016f7617be49caa80e6;25-10-25 08:00;25-10-25;08:00:00;Dev4;Merge branch 'feature/US1.1-user-registration' into 'develop' -  - feat: Implement user registration (US1.1) -  - See merge request mobile-petit-tonnerre/petit-tonnerre!1;FAUX;15;955;95;8;21;842;87;119;3,6;717;0,5;157;3
fe870bcbaa8241caee1d4d51ea6e9a3d8f28656e;25-10-25 10:00;25-10-25;10:00:00;Dev4;feat(US5.1): Améliorer authentification avec design flat et menu utilisateur;FAUX;22;3145;1077;5;198;874;87;0;3,98;575;0,6;119;2
710b72bc22d9534b340b828c0ab126e017d35e11;25-10-25 10:00;25-10-25;10:00:00;Dev1;simplify gitlab-ci file;FAUX;1;1;5;5;21;842;87;0;3,67;764;0,5;159;3
edc5cc6b80ed44c600ab095ded1dbf70dccf7447;25-10-25 10:00;25-10-25;10:00:00;Dev1;Add unit tests to Users + removing Deprecations;FAUX;5;161;20;8;193;757;70;119;3,36;780;0,5;167;3
5771ba8129bc42b6a2d3f36c1b3297da3b5270d2;25-10-25 11:00;25-10-25;11:00:00;Dev1;Ajout des dépendances de test (pytest, pytest-asyncio, httpx);FAUX;1;5;0;5;21;842;87;119;3,6;717;0,5;157;3
c2026cd1ead6f01a5f244ebcfac166771c4d3d2b;25-10-25 11:00;25-10-25;11:00:00;Dev1;fix: Configure bcrypt plus explicitement pour éviter les problèmes de détection de version;VRAI;2;26;8;5;215;873;91;119;3,6;717;0,5;157;3
aeb9517e36f54d6ce96fe937145c31adb66c114b;25-10-25 11:00;25-10-25;11:00:00;Dev4;docs: enhance Copilot instructions with workflow guidelines -  - - Add commit and push workflow instructions - - Add requirement to mark stories as Done in JIRA after pushing - - Ensure feature branch usage for all commits;FAUX;1;8;0;5;21;842;87;119;3,36;780;0,5;167;3
6a38aa7160772a66541d24dc2edb49c9bc2f7766;25-10-25 12:00;25-10-25;12:00:00;Dev3;chore: remove tracked __pycache__ and ignore compiled files;FAUX;2;2;0;5;239;1143;116;0;5,75;334;1,2;70;1
e85b09ea1769aa56b1d701c33f5d9e92c81e85e3;25-10-25 12:00;25-10-25;12:00:00;Dev4;feat(backend): implement US2.3 - automatic object enrichment -  - - Create enrichment script with 115 base objects covering all categories -   - 15 heating objects (chaudières, radiateurs, pompes à chaleur) -   - 20 kitchen objects (fours, plaques, hottes, électroménager cuisine) -   - 25 appliances (lave-vaisselle, machines, aspirateurs, etc.) -   - 18 bathroom objects (WC, douches, baignoires, robinetterie) -   - 15 flooring objects (parquets, carrelages, pierre bleue, etc.) -   - 22 other objects (jardinage, climatisation, sécurité, etc.) -  - - Auto-enrichment on startup: creates admin user + 115 objects + maintenance advice + tags - - Validation system ensures data consistency - - Comprehensive logging for tracking enrichment operations - - Idempotent: runs only on first initialization - - 28 unit tests covering all enrichment scenarios -  - - Update JIRA.md: mark all US2.3 tasks as done -  - Technical details: - - backend/enrich_objects.py: main enrichment script - - backend/base_objects_data.py: 115 objects data - - backend/tests/test_enrich_objects.py: comprehensive test suite - - backend/main.py: auto-enrichment on app startup;FAUX;6;1817;6;5;313;2571;208;0;4,85;354;0,9;75;1
9742d4dea8982dbd43b97dd4d4ee3671e7c87322;25-10-25 13:00;25-10-25;13:00:00;Dev1;feat(US1.2): Implement JWT authentication with login/logout endpoints;FAUX;11;485;18;5;295;3788;308;0;3,98;575;0,6;119;2
b23ac23452c5b9481ae5d41828199bc67f30d238;25-10-25 13:00;25-10-25;13:00:00;Dev4;feat: Implémenter l'interface de consultation et résolution des problèmes (US 4.2.1) -  - - Backend: Ajout des modèles Problem et ProblemResolution avec énumérations (status, severity) - - Backend: Création des schémas Pydantic pour validation des données - - Backend: Implémentation de l'API /problems avec 10 endpoints (CRUD, filtres, résolutions, upvotes) - - Frontend: Composant ProblemsComponent avec interface complète de consultation - - Frontend: Formulaires de création de problèmes et résolutions - - Frontend: Système de filtres par statut, sévérité et catégorie - - Frontend: Vue liste et vue détail avec affichage des résolutions - - Frontend: Système d'upvote pour les résolutions - - Frontend: Ajout de la route /problems et du lien de navigation - - Frontend: Méthodes API service pour toutes les opérations problèmes - - Database: Création automatique des tables problems et problem_resolutions;VRAI;16;1842;95;5;309;3452;289;0;4,14;555;0,6;115;2
59b56c109e76833f44f1f4cc1706e00ef12031c3;25-10-25 14:00;25-10-25;14:00:00;Dev4;feat(US-2.2): Implémentation complète CRUD objets utilisateur - Ajout formulaire création/édition avec validation - Ajout modales de confirmation suppression - Correction erreurs TypeScript (category: undefined) - Ajout boutons actions (éditer/supprimer) - Intégration FormsModule pour binding [(ngModel)];FAUX;3;454;169;5;319;2936;237;0;4,75;399;0,8;84;1
491d3da9a9c2234a6f66d5b0c805c3081115781b;25-10-25 14:00;25-10-25;14:00:00;Dev3;feat: Implement admin dashboard for object request management;FAUX;30;2531;19;5;309;4560;377;0;3,59;763;0,5;157;3
25bb8905acb378cb977bd979326bddf6b23a85ad;25-10-25 15:00;25-10-25;15:00:00;Dev3;feat: Ajout feature sélection objet existant et demande création;FAUX;16;425;1830;5;296;4359;343;119;3,6;717;0,5;157;3
87fa61c6f194a2b6fcdcaff7e947399ac07a0f2f;25-10-25 15:00;25-10-25;15:00:00;Dev1;feat(US1.2): Implement JWT authentication frontend integration;FAUX;16;175;113;5;31;4527;375;0;3,67;764;0,5;159;3
f101d92dde6bc4758b7b26686f25ee6832d6846d;25-10-25 15:00;25-10-25;15:00:00;Dev2;feat: Implémentation de la todo-list de maintenance (US3.1);FAUX;16;1481;97;5;311;4733;379;119;3,36;780;0,5;167;3
9363790ed457b89e29d347b9aa3b25dc437725e6;25-10-25 17:00;25-10-25;17:00:00;Dev3;feat(US1.3): Ajout du lien Admin dans le menu pour les administrateurs;FAUX;5;22;251;5;293;4339;339;119;3,6;717;0,5;157;3
2bb581ad4d947fc6ad7637677a3ac1629ce6079e;25-10-25 17:00;25-10-25;17:00:00;Dev4;feat(US1.1): Empêcher les utilisateurs connectés d'accéder à login/register;FAUX;7;75;8;5;293;4339;339;0;3,67;764;0,5;159;3
7b218b40978e127358a39b5617dc822ad98b53e2;25-10-25 17:00;25-10-25;17:00:00;Dev1;feat(maintenance): Add iCalendar export functionality (US5.1);FAUX;5;168;5;5;301;4422;357;0;4,85;354;0,9;75;1
8c256cff3eaba635d0958715f7fddc5dfbd97162;25-10-25 18:00;25-10-25;18:00:00;Dev4;feat(US4.1): Ajouter les actions rapides et stats au dashboard;FAUX;9;445;300;5;297;4499;381;119;3,6;717;0,5;157;3
dd598fa7a1f6c98c45de6be97fe1ffbb06eb3dfb;25-10-25 18:00;25-10-25;18:00:00;Dev3;Edit docker-compose.yml;FAUX;1;2;2;5;297;4499;381;0;4,85;354;0,9;75;1
b2af7c81fa974841526ffbd7ade9b1148c4a8087;25-10-25 19:00;25-10-25;19:00:00;Dev1;fix(app): Remove duplicate methods and invalid properties in AppComponent;VRAI;1;0;37;5;307;4883;448;0;3,98;575;0,6;119;2
e3ee6e9577de32372de3666782fdc1506e620cee;25-10-25 19:00;25-10-25;19:00:00;Dev2;feat(US2.2): Recherche obligatoire avant création + objets persistants;FAUX;4;63;24;5;308;4886;449;0;4,14;555;0,6;115;2
6cc758f856f7ebd25fbbd7844a2b3424c6465ec6;25-10-25 19:00;25-10-25;19:00:00;Dev3;feat(US1.2): Masquer le menu pour utilisateurs non connectés + logo moderne et sexy;FAUX;9;69;34;5;297;4499;381;119;3,36;780;0,5;167;3
53b9995800c80a5c094986aef8b9685afd31a67e;25-10-25 20:00;25-10-25;20:00:00;Dev3;docs(jira): Marquer US1.2 et US1.3 comme Done;FAUX;1;10;8;5;308;4893;449;119;3,6;717;0,5;157;3
6f40246ee81958d5dacb473545def64d3fad5b9e;25-10-25 20:00;25-10-25;20:00:00;Dev2;feat(US2.5): Recherche en temps réel dans mes objets;FAUX;2;120;7;5;309;5171;495;119;3,6;717;0,5;157;3
3f93649451ea86463b3055a51d764339c100ba0d;25-10-25 20:00;25-10-25;20:00:00;Dev1;feat(US6.1): Implémentation du soft delete pour les problèmes avec gestion admin;FAUX;9;713;39;5;309;5171;495;0;3,67;764;0,5;159;3
b6a08dee4f8adf4c97629b6baabe04d4d2c98be0;25-10-25 21:00;25-10-25;21:00:00;Dev1;feat(US6.2): Implémentation du soft delete pour les résolutions (backend);FAUX;8;629;16;5;31;5460;535;119;3,6;717;0,5;157;3
fe40d146c6cdafa3af3785cfa5052d9da5acb14b;25-10-25 21:00;25-10-25;21:00:00;Dev2;docs: Mise à jour des instructions Copilot -  - - Ajout d'une règle pour modifier edit_data.py lors de l'ajout de données initiales;FAUX;1;1;0;5;307;4883;448;119;3,6;717;0,5;157;3
990d73b638056aa1e4505d19745b58e7a6a9c13e;25-10-25 21:00;25-10-25;21:00:00;Dev3;fix(dashboard): Corriger les requêtes stats pour utiliser la relation many-to-many user_objects -  - - Remplacer les références inexistantes à Object.owner_id par des jointures sur user_objects - - Corriger le comptage des objets de l'utilisateur via la table d'association - - Corriger le comptage des problèmes (ouverts et résolus) avec la bonne jointure - - Résoudre l'erreur AttributeError: type object 'Object' has no attribute 'owner_id' - - Fix erreur 500 Internal Server Error sur /dashboard/stats - - Les requêtes retournent maintenant 200 OK avec les statistiques correctes;VRAI;1;14;7;5;308;4893;449;119;3,6;717;0,5;157;3
003aa6b05d83e62b744728c9c87860b546995c51;25-10-25 21:00;25-10-25;21:00:00;Dev4;fix(dashboard): Amélioration de l'affichage des tâches récentes;VRAI;7;64;32;5;311;5454;537;0;4,14;555;0,6;115;2
4023ec8b69783943710f783aa064ef3d1ed50839;25-10-25 21:00;25-10-25;21:00:00;Dev2;fix(frontend): amélioration affichage message de succès lors création objet;VRAI;2;82;22;5;31;5460;535;0;3,59;763;0,5;157;3
dda3706c9926636037049cb00fa1d5bff8a0c432;25-10-25 21:00;25-10-25;21:00:00;Dev1;feat(US8.1): Suppression de l'onglet Communauté du menu de navigation;FAUX;4;7;220;5;31;5460;535;119;3,36;780;0,5;167;3
1c517773b175ebd7204081fa63dfda03ddc49b4c;25-10-25 22:00;25-10-25;22:00:00;Dev1;feat: Mode communiste optionnel avec bouton de bascule;FAUX;7;271;50;5;311;5454;537;0;5,75;334;1,2;70;1
9e930acb92fad868b0776f86b209b35dda138a32;25-10-25 22:00;25-10-25;22:00:00;Dev2;feat(US2.4): Filtrer les objets par utilisateur - chaque utilisateur ne voit que ses propres objets;FAUX;4;313;12;5;315;5660;555;0;3,98;575;0,6;119;2
0e8f4360b651b7144a3bcea3470f5bedef225670;25-10-25 22:00;25-10-25;22:00:00;Dev1;feat(US3.1): Affichage des problèmes des objets partagés;FAUX;6;95;12;5;32;5880;606;0;4,14;555;0,6;115;2
2d3b8d1b4d09c95a7ac6e61e71396b1d21617827;25-10-25 22:00;25-10-25;22:00:00;Dev2;feat(US2.6): Implémenter le lazy loading et le tri par catégorie pour les objets;FAUX;4;578;74;5;318;5837;576;0;4,14;555;0,6;115;2
1bc34b62b5b441258896b8edff09cfbff682a27b;25-10-25 23:00;25-10-25;23:00:00;Dev1;feat: Ajout de l'hymne de l'URSS lors de l'activation du mode communiste;FAUX;2;37;1;5;32;5880;606;119;3,6;717;0,5;157;3
ca79809a56c9d7b051118e9420b3a8ad5dcc6625;25-10-25 23:00;25-10-25;23:00:00;Dev2;feat(US3.4): Implémentation du chat sur les pages de problèmes;FAUX;12;1616;421;5;32;6244;638;119;3,6;717;0,5;157;3
d4bc08ae1dd139e6f58b7b15d99dc393e912718e;25-10-25 23:00;25-10-25;23:00:00;Dev1;feat: Mise en place du mutation testing avec mutmut pour le backend;FAUX;7;517;0;5;32;5880;606;0;3,98;575;0,6;119;2
59f1fb3db0e4dd37b0c775fe9670c630f660417e;25-10-25 23:00;25-10-25;23:00:00;Dev1;feat: Communist USSR Karl Marx rebranding - Pour la gloire du prolétariat!;FAUX;7;149;63;5;311;5454;537;0;4,14;555;0,6;115;2
3e490ded2d51e1d5de5d855e40a4b42fe7188230;25-10-25 23:00;25-10-25;23:00:00;Dev3;feat: Ajout de la musique Boris Galère 🎵;FAUX;3;93;6;5;32;5880;606;119;3,36;780;0,5;167;3
b44b057f7240dc182b863d791e6404c56ec0a68d;26-10-25 00:00;26-10-25;00:00:00;Dev3;feat: Mode communiste pour les pages d'authentification -  - - Ajout du mode communiste sur login et register - - Affichage de l'étoile rouge au lieu du logo en mode communiste - - Fond rouge révolutionnaire (gradient #cc0000 -> #8b0000) - - Textes adaptés au thème révolutionnaire - - Animation pulsante sur l'étoile avec effet de lueur dorée - - Icônes et messages thématiques (⚒️, 🚩, ✊, ☭);FAUX;6;156;27;5;32;5880;606;119;3,6;717;0,5;157;3
