path;lines_of_code;name;language;hotspot;owner;change_frequency
local_clones/frontend/src/app/core/services/api.service.ts;372;api.service.ts;TypeScript;VRAI;Dev4;17
local_clones/backend/schemas.py;220;schemas.py;Python;VRAI;Dev4;15
local_clones/backend/main.py;140;main.py;Python;VRAI;Dev3;13
local_clones/frontend/src/app/features/objects/objects.component.ts;1274;objects.component.ts;TypeScript;VRAI;Dev2;13
local_clones/backend/models.py;203;models.py;Python;VRAI;Dev4;12
local_clones/backend/api/users.py;133;users.py;Python;VRAI;Dev4;12
local_clones/frontend/src/app/app.routes.ts;73;app.routes.ts;TypeScript;FAUX;Dev4;9
local_clones/frontend/src/app/app.component.ts;78;app.component.ts;TypeScript;FAUX;Dev4;9
local_clones/frontend/src/app/features/maintenance/maintenance.component.ts;581;maintenance.component.ts;TypeScript;FAUX;Dev2;9
local_clones/backend/api/objects.py;224;objects.py;Python;FAUX;Dev3;9
local_clones/frontend/src/app/features/problems/problems.component.ts;609;problems.component.ts;TypeScript;FAUX;Dev4;8
local_clones/frontend/src/app/features/auth/login.component.ts;61;login.component.ts;TypeScript;FAUX;Dev4;7
local_clones/frontend/src/app/features/auth/register.component.ts;68;register.component.ts;TypeScript;FAUX;Dev4;7
local_clones/frontend/src/app/features/dashboard/dashboard.component.ts;193;dashboard.component.ts;TypeScript;FAUX;Dev4;6
local_clones/frontend/src/app/core/services/auth.service.ts;105;auth.service.ts;TypeScript;FAUX;Dev4;6
local_clones/backend/api/problems.py;557;problems.py;Python;FAUX;Dev4;6
local_clones/backend/init_data.py;358;init_data.py;Python;FAUX;Dev3;5
local_clones/frontend/src/app/core/models/models.ts;136;models.ts;TypeScript;FAUX;Dev2;4
local_clones/backend/api/maintenance.py;172;maintenance.py;Python;FAUX;Dev1;3
local_clones/backend/enrich_objects.py;376;enrich_objects.py;Python;FAUX;Dev4;3
local_clones/backend/auth.py;66;auth.py;Python;FAUX;Dev1;3
local_clones/backend/tests/test_shared_objects.py;312;test_shared_objects.py;Python;FAUX;Dev2;3
local_clones/backend/api/dashboard.py;48;dashboard.py;Python;FAUX;Dev4;3
local_clones/backend/database.py;17;database.py;Python;FAUX;Dev4;3
local_clones/frontend/src/app/core/services/communist.service.ts;63;communist.service.ts;TypeScript;FAUX;Dev1;2
local_clones/backend/tests/test_users.py;137;test_users.py;Python;FAUX;Dev1;2
local_clones/frontend/src/environments/environment.prod.ts;4;environment.prod.ts;TypeScript;FAUX;Dev4;2
local_clones/backend/tests/test_objects.py;227;test_objects.py;Python;FAUX;Dev3;2
local_clones/frontend/src/main.ts;14;main.ts;TypeScript;FAUX;Dev4;2
local_clones/frontend/src/app/features/admin/admin-dashboard.component.ts;116;admin-dashboard.component.ts;TypeScript;FAUX;Dev3;2
local_clones/backend/api/community.py;64;community.py;Python;FAUX;Dev4;2
local_clones/frontend/src/app/shared/components/date-time-picker/date-time-picker.component.ts;223;date-time-picker.component.ts;TypeScript;FAUX;Dev4;2
local_clones/backend/tests/test_user_objects.py;314;test_user_objects.py;Python;FAUX;Dev4;2
local_clones/backend/tests/test_enrich_objects.py;339;test_enrich_objects.py;Python;FAUX;Dev4;2
local_clones/frontend/src/app/features/auth/auth.module.ts;15;auth.module.ts;TypeScript;FAUX;Dev4;2
local_clones/backend/config.py;19;config.py;Python;FAUX;Dev1;2
local_clones/frontend/src/app/core/guards/admin.guard.ts;17;admin.guard.ts;TypeScript;FAUX;Dev3;2
local_clones/frontend/src/environments/environment.ts;4;environment.ts;TypeScript;FAUX;Dev4;2
local_clones/backend/tests/test_filter_user_objects.py;219;test_filter_user_objects.py;Python;FAUX;Dev2;1
